用户id	房间id	直播id	上麦时间	下麦时间
12400256	0	1569231188088875	1970-01-01 04:00:00	1970-01-01 04:00:00
12400256	0	1569231188088875	1970-01-01 04:00:00	1970-01-01 04:00:00
12400256	0	1569231188088875	1970-01-01 04:00:00	1970-01-01 04:00:00
12399836	0	1569240469804492	1970-01-01 04:00:00	1970-01-01 04:00:00
12399836	0	1569240469804492	1970-01-01 04:00:00	1970-01-01 04:00:00
12399836	0	1569240469804492	1970-01-01 04:00:00	1970-01-01 04:00:00
12400720	0	1569241725627997	1970-01-01 04:00:00	1970-01-01 04:00:00
12400720	0	1569241725627997	1970-01-01 04:00:00	1970-01-01 04:00:00
12400720	0	1569241725627997	1970-01-01 04:00:00	1970-01-01 04:00:00
12400720	0	1569241725627997	1970-01-01 04:00:00	1970-01-01 04:00:00
12400720	0	1569241863001019	1970-01-01 04:00:00	1970-01-01 04:00:00
12400720	0	1569241863001019	1970-01-01 04:00:00	1970-01-01 04:00:00
12400720	0	1569241863001019	1970-01-01 04:00:00	1970-01-01 04:00:00
12400720	0	1569241863001019	1970-01-01 04:00:00	1970-01-01 04:00:00
12397564	0	1569242798891460	1970-01-01 04:00:00	1970-01-01 04:00:00
12399836	0	1569240469804492	1970-01-01 04:00:00	1970-01-01 04:00:00
12399836	0	1569240469804492	1970-01-01 04:00:00	1970-01-01 04:00:00
12401701	0	1569243564549453	1970-01-01 04:00:00	1970-01-01 04:00:00
12401701	0	1569243564549453	1970-01-01 04:00:00	1970-01-01 04:00:00
12400720	0	1569243748746301	1970-01-01 04:00:00	1970-01-01 04:00:00
12399410	0	1569243799961815	1970-01-01 04:00:00	1970-01-01 04:00:00
12400720	0	1569243748746301	1970-01-01 04:00:00	1970-01-01 04:00:00
12399410	0	1569243799961815	1970-01-01 04:00:00	1970-01-01 04:00:00
12400720	0	1569244275527687	1970-01-01 04:00:00	1970-01-01 04:00:00
12400256	0	1569244365056575	1970-01-01 04:00:00	1970-01-01 04:00:00
12401511	0	1569220723694868	1970-01-01 04:00:00	1970-01-01 04:00:00
12397564	0	1569242798891460	1970-01-01 04:00:00	1970-01-01 04:00:00
12397564	0	1569242798891460	1970-01-01 04:00:00	1970-01-01 04:00:00
12397564	0	1569242798891460	1970-01-01 04:00:00	1970-01-01 04:00:00
12397564	0	1569242798891460	1970-01-01 04:00:00	1970-01-01 04:00:00
12400720	0	1569244275527687	1970-01-01 04:00:00	1970-01-01 04:00:00
12400720	0	1569244622512638	1970-01-01 04:00:00	1970-01-01 04:00:00
12400256	0	1569244365056575	1970-01-01 04:00:00	1970-01-01 04:00:00
12401511	0	1569220723694868	1970-01-01 04:00:00	1970-01-01 04:00:00
12401511	0	1569220723694868	1970-01-01 04:00:00	1970-01-01 04:00:00
12400256	0	1569244365056575	1970-01-01 04:00:00	1970-01-01 04:00:00
12400256	0	1569244365056575	1970-01-01 04:00:00	1970-01-01 04:00:00
12397564	0	1569242798891460	1970-01-01 04:00:00	1970-01-01 04:00:00
12397564	0	1569247182253006	1970-01-01 04:00:00	1970-01-01 04:00:00
12400720	0	1569244622512638	1970-01-01 04:00:00	1970-01-01 04:00:00
12400720	0	1569244622512638	1970-01-01 04:00:00	1970-01-01 04:00:00
12400256	0	1569244365056575	1970-01-01 04:00:00	1970-01-01 04:00:00
12400256	0	1569244365056575	1970-01-01 04:00:00	1970-01-01 04:00:00
12401511	0	1569220723694868	1970-01-01 04:00:00	1970-01-01 04:00:00
12401511	0	1569220723694868	1970-01-01 04:00:00	1970-01-01 04:00:00
12399836	0	1569240469804492	1970-01-01 04:00:00	1970-01-01 04:00:00
12399836	0	1569240469804492	1970-01-01 04:00:00	1970-01-01 04:00:00
12401511	0	1569220723694868	1970-01-01 04:00:00	1970-01-01 04:00:00
12401511	0	1569220723694868	1970-01-01 04:00:00	1970-01-01 04:00:00
12397564	0	1569247182253006	1970-01-01 04:00:00	1970-01-01 04:00:00
12399836	0	1569240469804492	1970-01-01 04:00:00	1970-01-01 04:00:00
12401511	0	1569220723694868	1970-01-01 04:00:00	1970-01-01 04:00:00
12400720	0	1569244622512638	1970-01-01 04:00:00	1970-01-01 04:00:00
12400256	0	1569244365056575	1970-01-01 04:00:00	1970-01-01 04:00:00
12400256	0	1569244365056575	1970-01-01 04:00:00	1970-01-01 04:00:00
12400256	0	1569244365056575	1970-01-01 04:00:00	1970-01-01 04:00:00
12400256	0	1569244365056575	1970-01-01 04:00:00	1970-01-01 04:00:00
12401511	12301	1569220723694868	2019-09-24 13:13:58	2019-09-24 14:36:21
12399410	12301	1569220723694868	2019-09-24 15:00:59	2019-09-24 15:04:03
12399836	12773	1569322865735293	2019-09-24 15:01:27	2019-09-24 16:51:36
12401593	12301	1569220723694868	2019-09-24 15:01:51	2019-09-24 15:20:24
12402008	12773	1569322865735293	2019-09-24 15:03:33	2019-09-24 15:04:53
12399454	12773	1569322865735293	2019-09-24 15:04:03	2019-09-24 16:33:03
12399410	12301	1569220723694868	2019-09-24 15:04:07	2019-09-24 15:09:26
12399417	12301	1569220723694868	2019-09-24 15:04:24	2019-09-24 15:17:09
12399848	12773	1569322865735293	2019-09-24 15:07:57	2019-09-24 18:22:33
12402008	12773	1569322865735293	2019-09-24 15:08:08	2019-09-24 15:53:29
12399410	12301	1569220723694868	2019-09-24 15:09:36	2019-09-24 15:33:26
12399417	12301	1569220723694868	2019-09-24 15:17:21	2019-09-24 15:33:14
12400720	12782	1569323994677464	2019-09-24 15:19:57	2019-09-24 15:20:01
12400720	12782	1569324074909434	2019-09-24 15:21:17	2019-09-24 15:43:50
12401593	12301	1569220723694868	2019-09-24 15:21:19	2019-09-24 15:22:49
12401593	12301	1569220723694868	2019-09-24 15:26:14	2019-09-24 15:31:10
12400256	11879	1569244365056575	2019-09-24 15:29:39	2019-09-24 15:36:29
12401725	11879	1569244365056575	2019-09-24 15:33:19	2019-09-24 17:32:21
12401226	11879	1569244365056575	2019-09-24 15:33:35	2019-09-24 16:14:30
12400256	11879	1569244365056575	2019-09-24 15:36:34	2019-09-24 17:04:28
12401593	12301	1569220723694868	2019-09-24 15:45:33	2019-09-24 16:20:10
12401511	12301	1569220723694868	2019-09-24 15:45:36	2019-09-24 15:53:45
12399417	12301	1569220723694868	2019-09-24 15:49:32	2019-09-24 15:50:02
12399417	12301	1569220723694868	2019-09-24 15:53:19	2019-09-24 15:54:18
12402008	12773	1569322865735293	2019-09-24 15:54:28	1970-01-01 04:00:00
12399417	12301	1569220723694868	2019-09-24 15:55:01	2019-09-24 16:00:16
12399410	12301	1569220723694868	2019-09-24 15:55:19	2019-09-24 16:03:13
12401511	12301	1569220723694868	2019-09-24 15:55:33	2019-09-24 16:09:33
12399417	12301	1569220723694868	2019-09-24 16:00:31	2019-09-24 16:46:27
12397564	12796	1569326477117894	2019-09-24 16:01:20	2019-09-24 16:08:21
12402008	12773	1569322865735293	2019-09-24 16:05:47	2019-09-24 17:56:48
12401986	11879	1569244365056575	2019-09-24 16:06:02	2019-09-24 16:16:57
12397564	12796	1569326477117894	2019-09-24 16:08:31	2019-09-24 16:24:35
12401511	12301	1569220723694868	2019-09-24 16:09:50	2019-09-24 16:21:53
12401352	12796	1569326477117894	2019-09-24 16:10:57	2019-09-24 16:25:13
12401226	11879	1569244365056575	2019-09-24 16:17:05	2019-09-24 16:17:50
12401986	11879	1569244365056575	2019-09-24 16:17:12	2019-09-24 16:53:20
12401226	11879	1569244365056575	2019-09-24 16:18:39	2019-09-24 16:20:43
12401352	12796	1569326477117894	2019-09-24 16:25:16	2019-09-24 16:35:31
12399798	12796	1569326477117894	2019-09-24 16:25:46	2019-09-24 16:35:07
12401226	11879	1569244365056575	2019-09-24 16:26:52	2019-09-24 16:39:37
12397564	12796	1569326477117894	2019-09-24 16:35:33	2019-09-24 16:54:48
12399798	12796	1569326477117894	2019-09-24 16:35:36	2019-09-24 16:48:27
12401352	12796	1569326477117894	2019-09-24 16:37:31	2019-09-24 16:52:19
12399454	12773	1569322865735293	2019-09-24 16:37:32	2019-09-24 17:17:03
12401502	11879	1569244365056575	2019-09-24 16:41:55	2019-09-24 17:00:56
12401226	11879	1569244365056575	2019-09-24 16:42:26	2019-09-24 16:47:07
12401226	11879	1569244365056575	2019-09-24 16:47:21	2019-09-24 16:51:57
12399836	12773	1569322865735293	2019-09-24 16:51:45	2019-09-24 17:25:20
12401352	12796	1569326477117894	2019-09-24 16:52:35	2019-09-24 16:54:53
12399798	12796	1569326477117894	2019-09-24 16:53:04	2019-09-24 16:54:56
12401226	11879	1569244365056575	2019-09-24 16:53:19	2019-09-24 17:10:23
12397564	12796	1569329693986076	2019-09-24 16:55:00	2019-09-24 17:07:56
12401352	12796	1569329693986076	2019-09-24 16:55:09	2019-09-24 17:33:08
12401347	12773	1569322865735293	2019-09-24 16:56:37	2019-09-24 17:00:16
12401986	11879	1569244365056575	2019-09-24 16:57:13	2019-09-24 17:02:12
12401502	11879	1569244365056575	2019-09-24 17:01:50	2019-09-24 18:25:25
12401347	12773	1569322865735293	2019-09-24 17:02:20	2019-09-24 17:37:13
12401986	11879	1569244365056575	2019-09-24 17:04:09	2019-09-24 17:27:19
12400256	11879	1569244365056575	2019-09-24 17:04:44	2019-09-24 18:36:42
12397564	12796	1569329693986076	2019-09-24 17:08:52	2019-09-24 18:28:45
12399798	12796	1569329693986076	2019-09-24 17:14:18	2019-09-24 18:02:14
12401226	11879	1569244365056575	2019-09-24 17:14:32	2019-09-24 17:45:29
12399454	12773	1569322865735293	2019-09-24 17:18:01	2019-09-24 17:35:28
12401725	11879	1569244365056575	2019-09-24 17:33:22	2019-09-24 17:33:38
12401352	12796	1569329693986076	2019-09-24 17:33:36	2019-09-24 17:37:57
12401725	11879	1569244365056575	2019-09-24 17:34:29	2019-09-24 18:36:59
12399454	12773	1569322865735293	2019-09-24 17:37:04	2019-09-24 18:14:14
12401352	12796	1569329693986076	2019-09-24 17:38:33	2019-09-24 17:47:57
12399836	12773	1569322865735293	2019-09-24 17:38:49	2019-09-24 17:59:19
12401986	11879	1569244365056575	2019-09-24 17:39:15	2019-09-24 17:47:38
12401347	12773	1569322865735293	2019-09-24 17:43:06	2019-09-24 17:47:27
12401226	11879	1569244365056575	2019-09-24 17:46:08	2019-09-24 18:01:23
12401347	12773	1569322865735293	2019-09-24 17:48:01	2019-09-24 18:08:34
12401352	12796	1569329693986076	2019-09-24 17:48:45	2019-09-24 17:59:33
12401986	11879	1569244365056575	2019-09-24 17:57:32	2019-09-24 18:07:35
12402008	12773	1569322865735293	2019-09-24 17:57:51	2019-09-24 17:58:30
12399836	12773	1569322865735293	2019-09-24 17:59:45	2019-09-24 18:21:38
12401226	11879	1569244365056575	2019-09-24 18:01:38	2019-09-24 18:20:40
12399798	12796	1569329693986076	2019-09-24 18:02:24	2019-09-24 18:18:28
12401986	11879	1569244365056575	2019-09-24 18:07:42	2019-09-24 18:10:37
12399454	12773	1569322865735293	2019-09-24 18:14:44	2019-09-24 18:21:16
12401347	12773	1569322865735293	2019-09-24 18:15:18	2019-09-24 18:20:55
12401226	11879	1569244365056575	2019-09-24 18:20:57	2019-09-24 18:32:09
12401502	11879	1569244365056575	2019-09-24 18:26:31	1970-01-01 04:00:00
12401502	11879	1569244365056575	2019-09-24 18:30:00	2019-09-24 18:36:31
12401226	11879	1569244365056575	2019-09-24 18:32:36	2019-09-24 18:36:41
12401511	12301	1569220723694868	2019-09-24 21:38:02	2019-09-24 21:41:15
12399577	12301	1569220723694868	2019-09-24 21:39:22	2019-09-24 21:45:27
12401511	12301	1569220723694868	2019-09-24 21:41:27	2019-09-24 21:45:22
12401511	12301	1569347147090110	2019-09-24 21:45:53	2019-09-24 21:58:53
12399410	12301	1569347147090110	2019-09-24 21:50:05	2019-09-24 22:37:42
12401511	12301	1569347147090110	2019-09-24 21:59:45	2019-09-24 23:50:04
12399577	12301	1569347147090110	2019-09-24 22:00:21	2019-09-24 22:01:38
12399577	12301	1569347147090110	2019-09-24 22:01:45	2019-09-24 22:06:10
12397564	12796	1569348289131265	2019-09-24 22:04:57	2019-09-25 00:28:41
12401701	12801	1569348377305015	2019-09-24 22:06:23	2019-09-24 22:15:57
12399577	12301	1569347147090110	2019-09-24 22:06:40	2019-09-24 22:06:52
12399577	12301	1569347147090110	2019-09-24 22:07:35	2019-09-24 22:58:10
12400846	12796	1569348289131265	2019-09-24 22:08:56	2019-09-25 01:00:19
12401593	12301	1569347147090110	2019-09-24 22:19:41	2019-09-24 22:29:30
12401323	12796	1569348289131265	2019-09-24 22:21:26	2019-09-25 01:00:07
12401593	12301	1569347147090110	2019-09-24 22:29:44	2019-09-24 22:39:30
12399410	12301	1569347147090110	2019-09-24 22:37:47	2019-09-24 23:21:31
12401593	12301	1569347147090110	2019-09-24 22:41:10	2019-09-24 22:45:34
12401593	12301	1569347147090110	2019-09-24 22:45:44	2019-09-24 23:26:16
12399577	12301	1569347147090110	2019-09-24 22:58:48	2019-09-24 23:21:52
12399410	12301	1569347147090110	2019-09-24 23:23:00	2019-09-24 23:29:19
12399577	12301	1569347147090110	2019-09-24 23:23:05	2019-09-24 23:29:50
12401593	12301	1569347147090110	2019-09-24 23:27:58	2019-09-25 00:38:41
12399577	12301	1569347147090110	2019-09-24 23:30:43	2019-09-24 23:58:31
12399410	12301	1569347147090110	2019-09-24 23:31:36	2019-09-25 00:23:20
12401347	13586	1569354565641468	2019-09-24 23:49:32	2019-09-24 23:49:42
12401511	12301	1569347147090110	2019-09-24 23:52:00	2019-09-25 00:19:03
12399577	12301	1569347147090110	2019-09-25 00:01:16	2019-09-25 00:35:39
12401511	12301	1569347147090110	2019-09-25 00:19:57	2019-09-25 00:23:59
12399410	12301	1569347147090110	2019-09-25 00:24:08	2019-09-25 01:01:59
12401511	12301	1569347147090110	2019-09-25 00:27:55	2019-09-25 00:36:08
12400846	2916	1568724573695038	2019-09-25 01:00:33	2019-09-25 01:01:14
12399577	13283	1569294273871899	2019-09-25 21:09:36	2019-09-25 21:09:47
12399577	12301	1569347147090110	2019-09-25 21:10:46	2019-09-25 21:10:59
12401511	12301	1569347147090110	2019-09-25 21:50:19	2019-09-25 22:39:20
12399417	12301	1569347147090110	2019-09-25 21:52:48	2019-09-25 22:02:59
12399410	12301	1569347147090110	2019-09-25 21:53:23	2019-09-25 22:53:38
12399577	12301	1569347147090110	2019-09-25 21:54:42	2019-09-25 22:46:56
12401226	11879	1569244365056575	2019-09-25 21:57:24	1970-01-01 04:00:00
12400256	11879	1569244365056575	2019-09-25 22:01:36	2019-09-25 22:42:41
12402008	12498	1569434527098725	2019-09-25 22:02:10	2019-09-25 22:03:24
12401269	13978	1569434537712879	2019-09-25 22:02:23	2019-09-25 22:42:43
12401986	11879	1569244365056575	2019-09-25 22:02:31	2019-09-25 22:31:05
12401502	11879	1569244365056575	2019-09-25 22:03:08	2019-09-25 22:26:58
12399417	12301	1569347147090110	2019-09-25 22:03:21	2019-09-25 22:19:26
12401951	13978	1569434537712879	2019-09-25 22:04:11	2019-09-25 22:47:09
12402008	12498	1569434527098725	2019-09-25 22:04:59	2019-09-25 22:45:33
12397564	12796	1569348289131265	2019-09-25 22:05:27	2019-09-26 00:00:29
12400846	12796	1569348289131265	2019-09-25 22:05:35	2019-09-26 01:02:21
12399848	12498	1569434527098725	2019-09-25 22:05:47	2019-09-25 22:52:27
12401347	12498	1569434527098725	2019-09-25 22:05:52	1970-01-01 04:00:00
12401593	12301	1569347147090110	2019-09-25 22:06:45	2019-09-25 22:44:55
12400720	12782	1569434802580176	2019-09-25 22:06:46	2019-09-25 22:21:08
12401323	12782	1569434802580176	2019-09-25 22:07:27	2019-09-25 23:14:02
12401701	13978	1569434537712879	2019-09-25 22:07:45	2019-09-25 23:23:42
12401071	13978	1569434537712879	2019-09-25 22:10:27	2019-09-25 23:34:15
12401352	12796	1569348289131265	2019-09-25 22:12:50	2019-09-25 23:21:11
12401725	11879	1569244365056575	2019-09-25 22:13:09	2019-09-25 22:22:07
12399454	12498	1569434527098725	2019-09-25 22:18:58	2019-09-25 22:29:50
12399417	12301	1569347147090110	2019-09-25 22:20:24	2019-09-25 22:41:13
12400720	12782	1569434802580176	2019-09-25 22:21:14	2019-09-25 22:55:22
12401725	11879	1569244365056575	2019-09-25 22:22:35	2019-09-25 23:15:48
12401226	11879	1569244365056575	2019-09-25 22:23:53	2019-09-25 22:28:26
12401226	11879	1569244365056575	2019-09-25 22:30:20	2019-09-25 22:48:36
12401352	12796	1569348289131265	2019-09-25 22:32:55	2019-09-25 22:54:58
12401502	11879	1569244365056575	2019-09-25 22:40:35	2019-09-25 23:15:48
12401511	12301	1569347147090110	2019-09-25 22:40:43	2019-09-25 22:40:53
12399417	4369	1569428898654195	2019-09-25 22:41:40	2019-09-25 22:44:45
12399454	12773	1569436894143751	2019-09-25 22:42:17	2019-09-25 23:01:10
12401269	13978	1569434537712879	2019-09-25 22:42:53	2019-09-25 22:47:27
12399836	12773	1569436894143751	2019-09-25 22:43:19	2019-09-25 22:48:38
12400256	11879	1569244365056575	2019-09-25 22:43:20	2019-09-25 23:08:46
12401347	12773	1569436894143751	2019-09-25 22:45:14	2019-09-25 23:01:10
12402008	12773	1569436894143751	2019-09-25 22:45:46	2019-09-25 23:00:53
12401269	13978	1569434537712879	2019-09-25 22:47:34	2019-09-25 23:33:40
12399836	12773	1569436894143751	2019-09-25 22:49:23	2019-09-25 22:49:47
12401951	13978	1569434537712879	2019-09-25 22:49:33	2019-09-25 22:56:22
12399836	12773	1569436894143751	2019-09-25 22:49:57	2019-09-25 22:50:17
12401226	11879	1569244365056575	2019-09-25 22:50:00	2019-09-25 23:10:11
12401511	12301	1569347147090110	2019-09-25 22:54:01	2019-09-25 23:10:47
